"","1_the_astral","2_astral_light","3_seance","4_progression","Other_1","Other_2","Other_3","Other_4","Other_5","Other_6","Other_7","Other_8","Other_9","Other_10","Other_11","Other_12","Other_13","Other_14","Other_15","Other_16","Other_17"
"83","elemental.spirit","planetary.spirit","first.step","different.plane","own.heart","king.hexagram","complex.symbol","black.egg","own.environment","akashic.force","material.world","tree.of.life","tree.of.life","material.world","black.egg","path.of.tau","path.of.tau","mistress.of.aleister.crowley","akashic.envelope","left.hand","own.aura"
"84","fire.of.earth","yi.king","magical.motto","red.lion","spiritual.plane","shell.stick","tarot.trump","elemental.spirit","source.of.error","astral.force","own.environment","akashic.envelope","akashic.envelope","own.environment","elemental.spirit","narrow.path","narrow.path","X6..sign","material.world","own.heart","narrow.path"
"85","great.man","aleister.crowley","florence.farr","magical.motto","ten.sephiroth","astral.projection","planetary.spirit","fire.of.earth","own.aura","occult.work","source.of.error","material.world","material.world","source.of.error","fire.of.earth","convenient.size","convenient.size","spirit.vision","own.environment","spiritual.plane","convenient.size"
"86","one.form","king.hexagram","contemplation.of.the.divine","florence.farr","symbolic.representation","great.man","yi.king","dawn.initiate","path.of.tau","vital.force","path.of.tau","own.environment","own.environment","own.aura","dawn.initiate","scale.of.colour","scale.of.colour","left.hand","source.of.error","ten.sephiroth","scale.of.colour"
"87","X6..sign","shell.stick","golden.dawn","contemplation.of.the.divine","tree.of.life","one.form","aleister.crowley","complex.symbol","narrow.path","material.form","narrow.path","source.of.error","source.of.error","path.of.tau","complex.symbol","scale.of.the.king","scale.of.the.king","own.heart","own.aura","symbolic.representation","scale.of.the.king"
"88","left.hand","great.man","auto..hypnosis","divine.light","akashic.envelope","mistress.of.aleister","king.hexagram","tarot.trump","convenient.size","divine.name","convenient.size","own.aura","own.aura","narrow.path","tarot.trump","scale.of.the.queen","scale.of.the.queen","spiritual.plane","path.of.tau","tree.of.life","scale.of.the.queen"
"89","own.heart","one.form","means.of.a.symbol","golden.dawn","material.world","mistress.of.aleister.crowley","shell.stick","planetary.spirit","scale.of.colour","spiritual.force","scale.of.the.queen","path.of.tau","path.of.tau","convenient.size","planetary.spirit","flashing.colour","flashing.colour","ten.sephiroth","narrow.path","akashic.envelope","flashing.colour"
"90","spiritual.plane","mistress.of.aleister","elemental.fire","auto..hypnosis","own.environment","X6..sign","astral.projection","yi.king","scale.of.the.king","sacred.name","flashing.colour","narrow.path","narrow.path","scale.of.colour","yi.king","elemental.force","elemental.force","symbolic.representation","scale.of.colour","material.world","elemental.force"
"91","ten.sephiroth","mistress.of.aleister.crowley","lunar.crescent","means.of.a.symbol","source.of.error","spirit.vision","great.man","aleister.crowley","scale.of.the.queen","angelic.name","elemental.force","convenient.size","convenient.size","scale.of.the.king","aleister.crowley","ray.of.light","ray.of.light","tree.of.life","scale.of.the.king","own.environment","ray.of.light"
"92","symbolic.representation","own.heart","black.egg","elemental.fire","own.aura","left.hand","one.form","king.hexagram","flashing.colour","magical.implement","ray.of.light","scale.of.colour","scale.of.colour","flashing.colour","king.hexagram","akashic.force","akashic.force","material.world","scale.of.the.queen","source.of.error","akashic.force"
"93","tree.of.life","spiritual.plane","elemental.spirit","lunar.crescent","path.of.tau","own.heart","mistress.of.aleister","shell.stick","elemental.force","astral.influence","akashic.force","scale.of.the.king","scale.of.the.king","elemental.force","shell.stick","astral.force","astral.force","own.environment","flashing.colour","own.aura","astral.force"
"94","akashic.envelope","ten.sephiroth","fire.of.earth","black.egg","narrow.path","spiritual.plane","mistress.of.aleister.crowley","astral.projection","ray.of.light","higher.self","astral.force","scale.of.the.queen","scale.of.the.queen","ray.of.light","astral.projection","occult.work","occult.work","source.of.error","elemental.force","path.of.tau","occult.work"
"95","material.world","symbolic.representation","dawn.initiate","elemental.spirit","convenient.size","ten.sephiroth","X6..sign","great.man","akashic.force","great.angel","occult.work","flashing.colour","flashing.colour","akashic.force","great.man","vital.force","vital.force","own.aura","ray.of.light","narrow.path","vital.force"
"96","own.environment","tree.of.life","complex.symbol","fire.of.earth","scale.of.colour","symbolic.representation","spirit.vision","one.form","astral.force","cross.of.suffering","vital.force","elemental.force","elemental.force","astral.force","one.form","material.form","material.form","path.of.tau","akashic.force","convenient.size","material.form"
